V1	V2	V3
3,9	0,9088	1,2	
4	1	0	
3,8	0,8879	1,2	
3,8	0,868	0	
4	0,8524	0	
3,7	0,817	0	
4,4	0,8147	0	
4,2	0,7977	0	
3,7	0,7913	0	
4,3	0,7894	0	
4	0,7836	1,2	
3,9	0,7827	0	
3,8	0,7796	0	
4,3	0,774	0	
3,8	0,7712	0	
4	0,7679	0	
4,2	0,7662	0	
3,9	0,7616	0	
3,7	0,7591	1,5	
3,6	0,7026	0	
3,9	0,33206	0	
2,3	0,296071	1,5	
4,1	0,293521	0	
3,8	0,280355	0	
4,1	0,257353	0	
4,2	0,249815	0	
4,2	0,236733	0	
4,1	0,234886	0	
4	0,232874	0	
3,8	0,231576	0	
4,2	0,231229	0	
3,9	0,225335	0	
4,1	0,223978	0	
3,8	0,220601	0	
3,6	0,218508	0	
3,9	0	1	
4,3	0	1	
4	0	1,2	
4,2	0	1	
4,1	0	1	
4	0	1	
3,9	0	1	
4	0	1,5	
4,1	0	1,2	
3,9	0	0,7	
4,1	0	0,7	
4,2	0	1,2	
4,2	0	1,5	
3,9	0	1,5	
3	0	1	
3,7	0	1,5	
3,9	0	1,5	
4,4	0	1,5	
3,5	0	1,5	
4	0	1,5	
3,8	0	1	
4,2	0	1,5	
4,1	0	1,5	
3,6	0	1,5	
4,3	0	1,2	
3,9	0	1,5	
3,9	0	1,2	
4,2	0	1,5	
3,9	0	1,5	
3,3	0	1,2	
5	0	1,5	
3,9	0	1,2	
3,8	0	1	
4,1	0	1,5	
3,8	0	1,5	
3,7	0	1,5	
3,7	0	1,2	
4,1	0	1,5	
4,1	0	1,5	
4	0	1,5	
4,2	0	1,5	
3	0	1,5	
4,2	0	1,2	
3,8	0	1,5	
4	0	1,5	
4	0	1,5	
3,8	0	1,5	
3,9	0	1,5	
