V1	V2	V3	V4
3,9	0,9088	1,2	0,953957
4	1	0	0,909999
3,8	0,8879	1,2	0,951829
3,8	0,868	0	0,500011
4	0,8524	0	0,5
3,7	0,817	0	0,501547
4,4	0,8147	0	0,5
4,2	0,7977	0	0,5
3,7	0,7913	0	0,504913
4,3	0,7894	0	0,5
4	0,7836	1,2	0,930641
3,9	0,7827	0	0,5
3,8	0,7796	0	0,502367
4,3	0,774	0	0,5
3,8	0,7712	0	0,503072
4	0,7679	0	0,5
4,2	0,7662	0	0,5
3,9	0,7616	0	0,501089
3,7	0,7591	1,5	0,930841
3,6	0,7026	0	0,50968
3,9	0,33206	0	0,497017
2,3	0,296071	1,5	0,845644
4,1	0,293521	0	0,5
3,8	0,280355	0	0,488677
4,1	0,257353	0	0,5
4,2	0,249815	0	0,499964
4,2	0,236733	0	0,497112
4,1	0,234886	0	0,496668
4	0,232874	0	0,49618
3,8	0,231576	0	0,491229
4,2	0,231229	0	0,495776
3,9	0,225335	0	0,499914
4,1	0,223978	0	0,493906
3,8	0,220601	0	0,494072
3,6	0,218508	0	0,475186
3,9	0	1	0,5
4,3	0	1	0,5
4	0	1,2	0,774244
4,2	0	1	0,5
4,1	0	1	0,5
4	0	1	0,5
3,9	0	1	0,5
4	0	1,5	0,808726
4,1	0	1,2	0,774244
3,9	0	0,7	0,5
4,1	0	0,7	0,5
4,2	0	1,2	0,774244
4,2	0	1,5	0,809442
3,9	0	1,5	0,797647
3	0	1	0,146091
3,7	0	1,5	0,775847
3,9	0	1,5	0,797647
4,4	0	1,5	0,809442
3,5	0	1,5	0,523987
4	0	1,5	0,808726
3,8	0	1	0,499988
4,2	0	1,5	0,809442
4,1	0	1,5	0,809442
3,6	0	1,5	0,764135
4,3	0	1,2	0,774244
3,9	0	1,5	0,797647
3,9	0	1,2	0,776566
4,2	0	1,5	0,809442
3,9	0	1,5	0,797647
3,3	0	1,2	0,499674
5	0	1,5	0,809442
3,9	0	1,2	0,776566
3,8	0	1	0,499988
4,1	0	1,5	0,809442
3,8	0	1,5	0,786874
3,7	0	1,5	0,775847
3,7	0	1,2	0,784412
4,1	0	1,5	0,809442
4,1	0	1,5	0,809442
4	0	1,5	0,808726
4,2	0	1,5	0,809442
3	0	1,5	0,5
4,2	0	1,2	0,774244
3,8	0	1,5	0,786874
4	0	1,5	0,808726
4	0	1,5	0,808726
3,8	0	1,5	0,786874
3,9	0	1,5	0,797647
